Product_Name_Arabic,Product_Name_English,Price_EGP,Brand,Specifications,Volume_Weight,Availability_Status,Prescription_Required,Product_URL,Category,Page_Number,Form_Type
ايمو سوفت كريم مرطب للبشرة الجافة,Emo Soft Moisturizing Cream for Dry Skin,60,Emo Soft,For dry skin,30 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/emo-soft-cream-30-gm,Skin Treatments,1, Cream
اكستروما كريم دي إن إيه للكدمات والتورمات,Extrauma DNA Cream for bruises and swellings,28,Extrauma,DNA cream for bruises and swellings,25 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/extrauma-forte-dna280-i-ucream-25mg,Skin Treatments,1, Cream
اكستروما فورت جيل للكدمات والتورم والتجلطات,Extrauma Forte Gel for bruises swelling and clots,41,Extrauma,Forte gel for bruises and clots,25 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/extrauma-forte-dna-420-iu-gel-25-mg,Skin Treatments,1, Gel
اكستروما فورت جيل للكدمات والتورم,Extrauma Forte Gel for bruises and swelling,41,Extrauma,Forte gel for bruises and swellings,40 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/extrauma-forte-dna-420-iu-gel-40mg,Skin Treatments,1, Gel
كريم فيوسيكورت مضاد حيوي للدمامل والالتهابات,Fucicort Cream antibiotic for boils and inflammations,60,Fucicort,Antibiotic cream for boils,15 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/fucicort-15gm,Skin Treatments,1, Cream
كريم فيوسيكورت مضاد حيوي للدمامل والالتهابات,Fucicort Cream antibiotic for boils and inflammations,100,Fucicort,Antibiotic cream for boils,30 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/fucicort-30gm,Skin Treatments,1, Cream
فيوسيدين | كريم,Fucidin Cream,56,Fucidin,Cream,15 gm,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/fucidine-15-gm-cream,Skin Treatments,1, Cream
هاي ديرم لوشن للالتهابات والتسلخات والكحة,Hi Derm Lotion for inflammations diaper rash and cough,55,Hi Derm,Lotion for inflammations and cough,100 ml,In Stock,No,https://chefaa.com:443/eg-ar/nowProduct/hiderm-topical-solution-100-ml,Skin Treatments,1, Lotion
ليجنوكايين | 5% جل,Lignocaine 5% Gel,24,Lignocaine,5% gel for skin treatment,20 gm,Available,No,https://chefaa.com:443/eg-ar/nowProduct/lignocaine-5-cream-20mg,Skin Treatments,3, Gel
جلينوساليك مرهم,Glenosalic Ointment,50,Glenosalic,Ointment for skin treatment,30 gm,Available,No,https://chefaa.com:443/eg-ar/nowProduct/glenosalic-top-oint-15-gm-z4c6_dukvE1uO_du5oZxi8,Skin Treatments,3, Ointment
هيلاريوم | كريم,Helarium Cream,85,Helarium,Cream for skin treatment,30 gm,Available,No,https://chefaa.com:443/eg-ar/nowProduct/helarium-cream-30gm-gcue,Skin Treatments,3, Cream
هاي بانتين بلاس كريم لترطيب للبشرة وعلاج الجفاف,Hipanthen Plus Cream for skin moisturizing and dry skin,60,Hipanthen Plus,Cream for moisturizing,60 gm,Available,No,https://chefaa.com:443/eg-ar/nowProduct/hipanthen-plus-cream-60-gm,Skin Treatments,3, Cream
تراى بيتابرونات كريم,Tri Betapronate Cream,36,Tri Betapronate,Cream for skin treatment,30 gm,Available,No,https://chefaa.com:443/eg-ar/nowProduct/tri-betapronate-30gm-cream-b10fVPT,Skin Treatments,3, Cream
بوكسيبو كريم مرطب للبشرة,Boxebo Skin Emollient Cream,65,Boxebo,Skin emollient cream,15 gm,Available,No,https://chefaa.com:443/eg-ar/nowProduct/boxebo-skin-emollient-cream-15gm-chfe,Skin Treatments,3, Cream
هيالو 4 كريم للحروق والجروح,Hyalo 4 Cream for burns and wounds,377,Hyalo 4,Cream for burns and wounds,25 gm,Available,No,https://chefaa.com:443/eg-ar/nowProduct/hyalo-4skin-gel-30gm-smra_duPNT8K6,Skin Treatments,3, Cream
تيروماكس | 2% كريم,Tyromax 2% Cream,178,Tyromax,2% cream for skin treatment,50 gm,Available,No,https://chefaa.com:443/eg-ar/nowProduct/tyromax-2-cream-50gm-ej16,Skin Treatments,3, Cream
